UboatName,TypeOfUboat,Commissioned,FateDate,Fate,FateLatitude,FateLongitude,DaysInService,TotalShipsSunked,AverageDayPerShip,WarOutCome
U-1,IIA,1935-06-29,1940-04-06,Sunk,54.233333,5.116667,1922,,,Did not survive the War
U-2,IIA,1935-07-25,1944-04-08,Stricken,54.65,19.916667,3385,,,Did not survive the War
U-3,IIA,1935-09-06,1944-08-01,Stricken,54.5175,18.54,3500,2,1750,Did not survive the War
U-4,IIA,1935-08-17,1944-08-01,Stricken,54.5175,18.54,3500,4,875,Did not survive the War
U-5,IIA,1935-08-31,1943-03-19,Sunk,54.65,19.916667,2999,,,Did not survive the War
U-6,IIA,1935-09-07,1944-08-07,Stricken,54.5175,18.54,3506,,,Did not survive the War
U-7,IIB,1935-07-18,1944-02-18,Sunk,54.866667,19.485556,3335,1,3335,Did not survive the War
U-8,IIB,1935-08-05,1945-05-05,Scuttled,53.516667,8.166667,3777,,,Survived the war
U-9,IIB,1935-08-21,1944-08-20,Sunk,44.2,28.683333,3519,8,439,Did not survive the War
U-10,IIB,1935-09-09,1944-08-01,Stricken,54.4,18.7,3500,2,1750,Did not survive the War
U-11,IIB,1935-09-21,1945-05-03,Scuttled,54.323333,10.139444,3775,,,Survived the war
U-12,IIB,1935-09-30,1939-10-08,Sunk,51.166667,1.5,1741,,,Did not survive the War
U-13,IIB,1935-11-30,1940-05-31,Sunk,52.433333,2.033333,1977,9,219,Did not survive the War
U-14,IIB,1936-01-18,1945-05-05,Scuttled,53.516667,8.133333,3777,9,419,Survived the war
U-15,IIB,1936-03-07,1940-01-30,Sunk,54.4,7.833333,1490,3,496,Did not survive the War
U-16,IIB,1936-05-16,1939-10-25,Sunk,51.15,1.466667,1393,2,696,Did not survive the War
U-17,IIB,1935-12-03,1945-05-05,Scuttled,53.528611,8.105556,3777,3,1259,Survived the war
U-18,IIB,1936-01-04,1944-08-25,Scuttled,44.2,28.683333,3524,3,1174,Did not survive the War
U-19,IIB,1936-01-16,1944-09-11,Scuttled,41.566667,31.833333,3541,15,236,Did not survive the War
U-20,IIB,1936-02-01,1944-09-10,Scuttled,41.166667,30.783333,3175,13,244,Did not survive the War
U-21,IIB,1936-08-03,1945-02-01,Scrapped,54.65,19.916667,3319,6,553,Did not survive the War
U-22,IIB,1936-08-20,1940-03-27,Missing,57.5,9.0,1547,9,171,Did not survive the War
U-23,IIB,1936-09-24,1944-09-10,Scuttled,41.183333,30.0,3175,9,352,Did not survive the War
U-24,IIB,1936-10-10,1944-08-25,Scuttled,44.2,28.683333,3159,6,526,Did not survive the War
U-25,IA,1936-04-06,1940-08-02,Sunk,54.233333,5.116667,1675,8,209,Did not survive the War
U-26,IA,1936-05-06,1940-07-01,Scuttled,51.342583,-10.182861,1643,11,149,Did not survive the War
U-27,VIIA,1936-08-12,1939-09-20,Sunk,58.583333,-9.033333,1358,2,679,Did not survive the War
U-28,VIIA,1936-09-12,1944-03-17,Scuttled,54.116667,10.833333,2998,12,249,Did not survive the War
U-29,VIIA,1936-11-16,1945-05-05,Scuttled,49.95,-15.566667,3412,13,262,Survived the war
U-30,VIIA,1936-10-08,1945-05-05,Scuttled,53.528611,8.105556,3412,17,200,Survived the war
U-31,VIIA,1936-12-28,1940-11-02,Sunk,55.644056,-8.413556,1767,13,135,Did not survive the War
U-32,VIIA,1937-04-15,1940-10-30,Sunk,55.616667,-12.316667,1398,20,69,Did not survive the War
U-33,VIIA,1936-07-25,1940-02-12,Sunk,55.416667,-5.116667,1503,10,150,Did not survive the War
U-34,VIIA,1936-09-12,1943-08-05,Sunk,55.7,21.15,2773,23,120,Did not survive the War
U-35,VIIA,1936-11-03,1939-11-29,Scuttled,60.883333,2.783333,1428,4,357,Did not survive the War
U-36,VIIA,1936-12-16,1939-12-04,Sunk,57.0,5.033333,1433,3,477,Did not survive the War
U-37,IXA,1938-08-04,1945-05-08,Scuttled,54.916667,9.783333,2684,55,48,Survived the war
U-38,IXA,1938-10-24,1945-05-05,Scuttled,53.566667,8.533333,2681,35,76,Survived the war
U-39,IXA,1938-12-10,1939-09-14,Sunk,58.533333,-11.816667,621,,,Did not survive the War
U-40,IXA,1939-02-11,1939-10-13,Sunk,50.7,0.25,650,,,Did not survive the War
U-41,IXA,1939-04-22,1940-02-05,Sunk,49.333333,-10.066667,400,5,80,Did not survive the War
U-42,IXA,1939-07-15,1939-10-13,Sunk,49.2,-16.0,285,1,285,Did not survive the War
U-43,IXA,1939-08-26,1943-07-30,Sunk,34.95,-35.183333,1671,21,79,Did not survive the War
U-44,IXA,1939-11-04,1940-03-13,Sunk,54.233333,5.116667,437,8,54,Did not survive the War
U-45,VIIB,1938-06-25,1939-10-14,Sunk,50.966667,-12.95,651,2,325,Did not survive the War
U-46,VIIB,1938-11-02,1945-05-05,Scuttled,54.833333,9.483333,2681,22,121,Survived the war
U-47,VIIB,1938-12-17,1941-03-07,Sunk,52.7414,-11.5258,1161,31,37,Did not survive the War
U-48,VIIB,1939-04-22,1945-05-03,Scuttled,54.116667,10.833333,2314,51,45,Survived the war
U-49,VIIB,1939-08-12,1940-04-15,Sunk,68.883333,16.983333,470,1,470,Did not survive the War
U-50,VIIB,1939-12-12,1940-04-06,Sunk,53.978439,5.215405,461,4,115,Did not survive the War
U-51,VIIB,1938-08-06,1940-08-20,Sunk,45.5,-4.4,962,6,160,Did not survive the War
U-52,VIIB,1939-02-04,1945-05-03,Sunk,54.42602,18.682926,2314,13,178,Survived the war
U-53,VIIB,1939-06-24,1940-02-24,Sunk,60.533333,-6.233333,419,7,59,Did not survive the War
U-54,VIIB,1939-09-23,1940-02-13,Sunk,54.95,6.75,408,,,Did not survive the War
U-55,VIIB,1939-11-21,1940-01-30,Sunk,48.616667,-7.8,394,6,65,Did not survive the War
U-56,IIC,1938-11-26,1945-05-03,Scuttled,54.316667,10.166667,2679,4,669,Survived the war
U-57,IIC,1938-12-29,1945-05-03,Scuttled,54.316667,10.166667,2679,12,223,Survived the war
U-58,IIC,1939-02-04,1945-05-03,Scuttled,54.316667,10.166667,2679,7,382,Survived the war
U-59,IIC,1939-03-04,1945-05-03,Scuttled,54.316667,10.166667,2679,19,141,Survived the war
U-60,IIC,1939-07-22,1945-05-05,Scuttled,53.528611,8.105556,2316,3,772,Survived the war
U-61,IIC,1939-08-12,1945-05-05,Scuttled,53.528611,8.105556,2316,5,463,Survived the war
U-62,IIC,1939-12-21,1945-05-05,Scuttled,53.528611,8.105556,2316,2,1158,Survived the war
U-63,IIC,1940-01-18,1940-02-25,Sunk,58.666667,-0.166667,420,1,420,Did not survive the War
U-64,IXB,1939-12-16,1940-04-13,Sunk,68.548333,17.55,468,,,Did not survive the War
U-65,IXB,1940-02-15,1941-04-28,Sunk,60.066667,-15.75,483,12,40,Did not survive the War
U-66,IXC,1941-01-02,1944-05-06,Sunk,17.283333,-32.483333,1587,33,48,Did not survive the War
U-67,IXC,1941-01-22,1943-07-16,Sunk,30.083333,-44.283333,1292,13,99,Did not survive the War
U-68,IXC,1941-02-11,1944-04-10,Sunk,33.4,-18.983333,1561,33,47,Did not survive the War
U-69,VIIC,1940-11-02,1943-02-17,Sunk,50.6,-41.116667,1143,17,67,Did not survive the War
U-70,VIIC,1940-11-23,1941-03-07,Sunk,60.25,-14.0,431,1,431,Did not survive the War
U-71,VIIC,1940-12-14,1945-05-02,Scuttled,53.528611,8.105556,1948,5,389,Survived the war
U-72,VIIC,1941-01-04,1945-03-30,Sunk,53.08,8.46,1915,,,Did not survive the War
U-73,VIIB,1940-09-30,1943-12-16,Sunk,36.116667,-0.833333,1445,12,120,Did not survive the War
U-74,VIIB,1940-10-31,1942-05-02,Sunk,37.533333,0.166667,852,5,170,Did not survive the War
U-75,VIIB,1940-12-19,1941-12-28,Sunk,31.833333,26.666667,727,9,80,Did not survive the War
U-76,VIIB,1940-12-09,1941-04-05,Sunk,58.583333,-20.333333,460,2,230,Did not survive the War
U-77,VIIC,1941-01-18,1943-03-29,Sunk,38.644444,0.046111,1183,15,78,Did not survive the War
U-78,VIIC,1941-02-15,1945-04-16,Sunk,54.65,19.916667,1932,,,Did not survive the War
U-79,VIIC,1941-03-13,1941-12-23,Sunk,32.212423,25.521036,356,3,118,Did not survive the War
U-80,VIIC,1941-04-08,1944-11-28,Sunk,54.4167,19.8333,1427,,,Did not survive the War
U-81,VIIC,1941-04-26,1944-04-22,Scrapped,44.866667,13.85,1207,26,46,Did not survive the War
U-82,VIIC,1941-05-14,1942-02-06,Sunk,40.050283,-23.419869,401,9,44,Did not survive the War
U-83,VIIB,1941-02-08,1943-03-04,Sunk,37.166667,0.083333,792,6,132,Did not survive the War
U-84,VIIB,1941-04-29,1943-08-07,Sunk,27.916667,-68.05,948,6,158,Did not survive the War
U-85,VIIB,1941-06-07,1942-04-14,Sunk,35.916667,-75.216667,468,3,156,Did not survive the War
U-86,VIIB,1941-07-08,1943-11-29,Sunk,40.8667,-18.9,1062,3,354,Did not survive the War
U-87,VIIB,1941-08-19,1943-03-04,Sunk,41.6,-13.516667,792,5,158,Did not survive the War
U-88,VIIC,1941-10-15,1942-09-12,Sunk,75.066667,4.816667,619,2,309,Did not survive the War
U-89,VIIC,1941-11-19,1943-05-12,Sunk,46.5,-25.666667,861,4,215,Did not survive the War
U-90,VIIC,1941-12-20,1942-07-24,Sunk,48.2,-40.933333,569,,,Did not survive the War
U-91,VIIC,1942-01-28,1944-02-26,Sunk,60.143918,-30.139176,1151,5,230,Did not survive the War
U-92,VIIC,1942-03-03,1944-10-04,Scrapped,60.4,5.316667,1007,3,335,Did not survive the War
U-93,VIIC,1940-07-30,1942-01-15,Sunk,36.166667,-15.866667,745,8,93,Did not survive the War
U-94,VIIC,1940-08-10,1942-08-28,Sunk,17.666667,-74.5,970,26,37,Did not survive the War
U-95,VIIC,1940-08-31,1941-11-28,Sunk,36.4,-3.333333,697,8,87,Did not survive the War
U-96,VIIC,1940-09-14,1945-03-30,Sunk,53.528611,8.105556,1915,27,70,Did not survive the War
U-97,VIIC,1940-09-28,1943-06-16,Sunk,33.0,34.0,1262,16,78,Did not survive the War
U-98,VIIC,1940-10-12,1942-11-15,Sunk,36.15,-7.7,1049,11,95,Did not survive the War
U-99,VIIB,1940-04-18,1941-03-17,Sunk,61.0,-12.0,441,38,11,Did not survive the War
U-100,VIIB,1940-05-30,1941-03-17,Sunk,61.066667,-11.5,441,25,17,Did not survive the War
U-101,VIIB,1940-03-11,1945-05-03,Scuttled,54.116667,10.833333,1949,23,84,Survived the war
U-102,VIIB,1940-04-27,1940-07-01,Sunk,48.55,-10.433333,182,1,182,Did not survive the War
U-103,IXB,1940-07-05,1945-05-03,Scuttled,54.326,10.164,1949,45,43,Survived the war
U-104,IXB,1940-08-19,1940-11-28,Sunk,55.5,-8.0,332,1,332,Did not survive the War
U-105,IXB,1940-09-10,1943-06-02,Sunk,14.745027,-17.74182,1248,23,54,Did not survive the War
U-106,IXB,1940-09-24,1943-08-02,Sunk,43.953369,-4.63962,1309,22,59,Did not survive the War
U-107,IXB,1940-10-08,1944-08-18,Sunk,46.766667,-3.816667,1691,39,43,Did not survive the War
U-108,IXB,1940-10-22,1944-04-11,Scuttled,47.22,-22.4,1562,26,60,Did not survive the War
U-109,IXB,1940-12-05,1943-05-04,Sunk,47.22,-22.4,1219,12,101,Did not survive the War
U-110,IXB,1940-11-21,1941-05-09,Captured,60.366667,-33.2,494,3,164,Did not survive the War
U-111,IXB,1940-12-19,1941-10-04,Sunk,27.166667,-20.4,642,4,160,Did not survive the War
U-116,XB,1941-07-26,1942-10-06,Missing,45.0,-31.5,643,1,643,Did not survive the War
U-117,XB,1941-10-25,1943-08-07,Sunk,39.7,-38.35,948,,,Did not survive the War
U-118,XB,,1943-06-12,Sunk,30.816667,-28.35,892,4,223,Did not survive the War
U-119,XB,1942-04-02,1943-06-24,Sunk,44.983333,-12.4,539,1,539,Did not survive the War
U-120,IIB,1940-04-20,1945-05-05,Scuttled,53.55,8.583333,1951,,,Survived the war
U-121,IIB,1940-05-28,1945-05-05,Scuttled,53.55,8.583333,1951,,,Survived the war
U-122,IXB,1940-03-30,1940-06-22,Missing,45.5,-4.4,538,1,538,Did not survive the War
U-123,IXB,1940-05-30,1944-08-19,Scuttled,47.725976,-3.363578,1692,44,38,Did not survive the War
U-124,IXB,1940-06-11,1943-04-02,Sunk,41.033333,-15.65,1187,48,24,Did not survive the War
U-125,IXC,1941-03-03,1943-05-06,Sunk,52.5,-45.333333,1221,17,71,Did not survive the War
U-126,IXC,1941-03-22,1943-07-03,Sunk,52.5,-45.333333,1279,25,51,Did not survive the War
U-127,IXC,1941-04-24,1941-12-15,Sunk,10.0,-35.583,348,,,Did not survive the War
U-128,IXC,,1943-05-17,Sunk,10.0,-35.583,866,12,72,Did not survive the War
U-129,IXC,1941-05-21,1944-08-18,Scuttled,47.725976,-3.363578,1325,29,45,Did not survive the War
U-130,IXC,1941-06-11,1943-03-12,Sunk,37.973749,-36.58919,800,24,33,Did not survive the War
U-131,IXC,1941-07-01,1941-12-17,Scuttled,34.2,-13.583333,350,1,350,Did not survive the War
U-132,VIIC,1941-05-29,1942-11-04,Sunk,55.5,-40.0,672,9,74,Did not survive the War
U-133,VIIC,1941-07-05,1942-03-14,Sunk,37.833333,23.583333,437,1,437,Did not survive the War
U-134,VIIC,1941-07-26,1943-08-27,Sunk,44.05,-8.083333,968,3,322,Did not survive the War
U-135,VIIC,1941-08-16,1943-07-15,Sunk,28.333333,-13.283333,925,3,308,Did not survive the War
U-136,VIIC,1941-08-30,1942-07-11,Sunk,33.5,-22.866667,556,7,79,Did not survive the War
U-137,IID,1940-06-15,1945-05-05,Scuttled,53.55,8.583333,1951,7,278,Survived the war
U-138,IID,1940-06-27,1941-06-18,Scuttled,36.066667,-7.483333,534,6,89,Did not survive the War
U-139,IID,1940-07-24,1945-05-05,Scuttled,53.55,8.583333,1951,,,Survived the war
U-140,IID,1940-08-07,1945-05-05,Scuttled,53.55,8.583333,1951,4,487,Survived the war
U-141,IID,1940-08-21,1945-05-05,Scuttled,53.55,8.583333,1951,4,487,Survived the war
U-142,IID,1940-09-04,1945-05-05,Scuttled,53.55,8.583333,1951,,,Survived the war
U-143,IID,1940-09-18,1945-12-22,Sunk,55.966667,-9.583333,2182,1,2182,Survived the war
U-144,IID,1940-10-02,1941-08-10,Sunk,59.0,23.0,587,1,587,Did not survive the War
U-145,IID,1940-10-16,1945-12-22,Sunk,55.783333,-9.933333,2182,,,Survived the war
U-146,IID,1940-10-30,1945-05-05,Scuttled,53.55,8.583333,1951,1,1951,Survived the war
U-147,IID,1940-12-11,1941-06-02,Sunk,56.757731,-11.382499,518,2,259,Did not survive the War
U-148,IID,1940-12-28,1945-05-05,Scuttled,53.55,8.583333,1951,,,Survived the war
U-149,IID,1940-11-13,1945-12-21,Sunk,55.666667,-8.0,2181,1,2181,Survived the war
U-150,IID,1940-11-27,1945-12-21,Sunk,56.066667,-9.583333,2181,,,Survived the war
U-151,IID,1941-01-15,1945-05-05,Scuttled,53.55,8.583333,1951,,,Survived the war
U-152,IID,1941-01-29,1945-05-05,Scuttled,53.55,8.583333,1951,,,Survived the war
U-153,IXC,1941-07-19,1943-07-13,Sunk,9.392016,-79.927123,923,3,307,Did not survive the War
U-154,IXC,1941-08-02,1944-07-03,Sunk,34.0,-19.3,1279,10,127,Did not survive the War
U-155,IXC,1941-08-23,1945-12-21,Sunk,55.583,-7.65,1815,26,69,Survived the war
U-156,IXC,1941-09-04,1943-03-08,Sunk,12.633333,-54.65,796,19,41,Did not survive the War
U-157,IXC,1941-09-15,1942-06-13,Sunk,24.216667,-82.05,528,1,528,Did not survive the War
U-158,IXC,1941-09-25,1942-06-30,Sunk,32.833333,-67.466667,545,17,32,Did not survive the War
U-159,IXC,1941-10-04,1943-07-28,Sunk,47.44013,-4.165525,938,23,40,Did not survive the War
U-160,IXC,1941-10-16,1943-07-14,Sunk,31.84924,-28.713053,924,26,35,Did not survive the War
U-161,IXC,1941-07-08,1943-09-27,Sunk,-12.5,-35.5833,999,13,76,Did not survive the War
U-162,IXC,1941-09-09,1942-09-03,Sunk,12.35,-59.4833,610,14,43,Did not survive the War
U-163,IXC,1941-10-21,1943-03-13,Sunk,45.083333,-15.0,801,4,200,Did not survive the War
U-164,IXC,1941-11-28,1943-01-06,Sunk,-1.966667,-39.366667,735,3,245,Did not survive the War
U-165,IXC,1942-02-03,1942-09-27,Sunk,47.0833,-5.5,634,3,211,Did not survive the War
U-166,IXC,1942-03-23,1942-07-30,Sunk,28.6833,-88.7,575,4,143,Did not survive the War
U-167,IXC/40,1942-07-04,1943-04-06,Scuttled,-6.2,111.28,460,1,460,Did not survive the War
U-168,IXC/40,1942-09-10,1944-10-06,Sunk,-6.2,111.28,1374,3,458,Did not survive the War
U-169,IXC/40,1942-11-16,1943-03-27,Sunk,60.9,-15.4167,450,,,Did not survive the War
U-170,IXC/40,1943-01-19,1945-11-30,Sunk,56.066667,-9.583333,1429,1,1429,Survived the war
U-171,IXC,1941-10-25,1942-10-09,Sunk,47.797,3.784,646,3,215,Did not survive the War
U-172,IXC,1941-11-05,1943-12-13,Sunk,26.483,29.967,1076,26,41,Did not survive the War
U-173,IXC,1941-11-15,1942-11-16,Sunk,33.667,-7.583,684,1,684,Did not survive the War
U-174,IXC,1941-11-26,1943-04-27,Sunk,43.583,-56.3,846,5,169,Did not survive the War
U-175,IXC,1941-12-05,1943-04-17,Sunk,47.883,-22.067,836,10,83,Did not survive the War
U-176,IXC,1941-12-15,1943-05-15,Sunk,23.35,-80.3,864,11,78,Did not survive the War
U-177,IXD2,1942-03-14,1944-02-06,Sunk,-10.583,-23.25,1131,14,80,Did not survive the War
U-178,IXD2,1942-02-14,1944-08-25,Scuttled,44.927338,-0.550175,1332,13,102,Did not survive the War
U-179,IXD2,1942-03-07,1942-10-08,Sunk,-33.467,17.083,645,1,645,Did not survive the War
U-180,IXD1,1942-05-16,1944-08-23,Missing,44.0,-2.0,1330,2,665,Did not survive the War
U-181,IXD2,1942-05-09,1946-02-12,Scuttled,3.09722,100.69722,1868,27,69,Survived the war
U-182,IXD2,1942-06-30,1943-05-16,Sunk,33.91667,-20.58333,500,5,100,Did not survive the War
U-183,IXC/40,1942-04-01,1945-04-23,Sunk,-4.833,112.867,1208,4,302,Did not survive the War
U-184,IXC/40,1942-05-29,1942-11-21,Missing,49.0,-45.0,324,1,324,Did not survive the War
U-185,IXC/40,1942-06-13,1943-08-24,Sunk,27.0,-37.1,600,9,66,Did not survive the War
U-186,IXC/40,1942-07-10,1943-05-12,Sunk,41.9,-31.817,496,3,165,Did not survive the War
U-187,IXC/40,1942-07-23,1943-02-04,Sunk,50.2,-36.583333,764,,,Did not survive the War
U-188,IXC/40,1942-08-05,1944-08-25,Scuttled,44.833,-0.567,967,9,107,Did not survive the War
U-189,IXC/40,1942-08-15,1943-04-23,Sunk,59.762444,-42.039256,477,,,Did not survive the War
U-190,IXC/40,1942-09-24,1945-05-14,Surrendered,43.917,-63.0,1229,2,614,Survived the war
U-191,IXC/40,1942-10-20,1943-04-23,Sunk,59.02889,-42.210033,477,1,477,Did not survive the War
U-192,IXC/40,1942-11-16,1943-05-06,Sunk,53.1,-45.733333,490,,,Did not survive the War
U-193,IXC/40,1942-12-10,1944-04-24,Missing,45.633333,-9.716667,844,1,844,Did not survive the War
U-194,IXC/40,1943-01-08,1943-06-24,Sunk,59.0,-26.3,539,,,Did not survive the War
U-195,IXD1,1942-09-05,1945-05-02,Surrendered,-6.08411,106.828005,1217,2,608,Survived the war
U-196,IXD2,1942-09-11,1944-12-01,Missing,-5.92,105.88,1065,3,355,Did not survive the War
U-197,IXD2,1942-10-10,1943-08-20,Sunk,-28.666667,42.6,596,3,198,Did not survive the War
U-198,IXD2,1942-11-03,1944-08-12,Sunk,-3.583333,52.816667,954,11,86,Did not survive the War
U-199,IXD2,1942-11-28,1943-07-31,Sunk,-23.9,-42.9,576,2,288,Did not survive the War
U-200,IXD2,1942-12-22,1943-06-24,Sunk,58.25,-25.416667,539,,,Did not survive the War
U-201,VIIC,1941-01-25,1943-02-17,Sunk,50.833333,-40.833333,1143,24,47,Did not survive the War
U-202,VIIC,1941-03-22,1943-06-02,Sunk,56.2,-39.866667,882,9,98,Did not survive the War
U-203,VIIC,1941-02-18,1943-04-25,Sunk,55.083333,-42.416667,844,21,40,Did not survive the War
U-204,VIIC,1941-03-08,1941-10-19,Sunk,35.766667,-6.033333,291,5,58,Did not survive the War
U-205,VIIC,1941-05-03,1943-02-17,Sunk,32.933333,22.016667,777,1,777,Did not survive the War
U-206,VIIC,1941-05-17,1941-11-29,Missing,47.083333,-2.666667,332,3,110,Did not survive the War
U-207,VIIC,1941-06-07,1941-09-11,Sunk,56.538126,-40.118039,253,2,126,Did not survive the War
U-208,VIIC,1941-07-05,1941-12-07,Sunk,35.534015,-11.115261,340,1,340,Did not survive the War
U-209,VIIC,1941-10-11,1943-05-07,Missing,52.0,-38.0,856,3,285,Did not survive the War
U-210,VIIC,1942-02-21,1942-08-06,Sunk,54.4,-34.616667,582,,,Did not survive the War
U-211,VIIC,1942-03-07,1943-11-19,Sunk,38.232457,-19.513926,687,1,687,Did not survive the War
U-212,VIIC,1942-04-25,1944-07-21,Sunk,50.45,-0.216667,932,1,932,Did not survive the War
U-213,VIID,1941-08-30,1942-07-31,Sunk,36.75,-22.833333,576,,,Did not survive the War
U-214,VIID,1941-11-01,1944-07-26,Sunk,49.966667,-3.5,1302,4,325,Did not survive the War
U-215,VIID,1941-11-22,1942-07-03,Sunk,41.479972,-66.379972,548,1,548,Did not survive the War
U-216,VIID,1941-12-15,1942-10-20,Sunk,48.35,-19.416667,657,1,657,Did not survive the War
U-217,VIID,1942-01-31,1943-06-05,Sunk,30.3,-42.833333,885,3,295,Did not survive the War
U-218,VIID,1942-01-24,1945-12-05,Sunk,55.466667,-7.3,1799,2,899,Survived the war
U-219,XB,1942-12-12,1945-08-04,Surrendered,-6.516667,104.902222,1311,,,Survived the war
U-220,XB,1943-03-27,1943-10-28,Sunk,44.056907,-32.493876,300,2,150,Did not survive the War
U-221,VIIC,1942-05-09,1943-09-27,Sunk,47.0,-18.0,634,21,30,Did not survive the War
U-222,VIIC,1942-05-23,1942-09-02,Sunk,54.416667,19.5,244,,,Did not survive the War
U-223,VIIC,1942-06-06,1944-03-30,Sunk,38.8,14.166667,819,4,204,Did not survive the War
U-224,VIIC,1942-06-20,1943-01-13,Sunk,36.466667,0.816667,377,2,188,Did not survive the War
